Case ID,Activity,Complete Timestamp,Variant,Variant index
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 20:58:59.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Lock non-compliant users,2019/08/10 21:00:40.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Request data update,2019/08/10 21:01:36.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
dataProvider,Inspect updates,2019/08/10 21:03:02.000,Variant 7,7
